Call Start Time,Duration,,,,,,,,,,,,,,,,,,
12/20/2021 8:51:07 AM -08:00,00:00:49,,,,,,,,,,,,,,,,,,
12/20/2021 8:47:40 AM -08:00,00:01:07,,,,,,,,,,,,,,,,,,
12/20/2021 8:25:32 AM -08:00,00:01:52,,,,,,,,,,,,,,,,,,
12/20/2021 8:19:40 AM -08:00,00:01:21,,,,,,,,,,,,,,,,,,
12/20/2021 8:16:04 AM -08:00,00:01:43,,,,,,,,,,,,,,,,,,
12/20/2021 8:12:10 AM -08:00,00:01:37,,,,,,,,,,,,,,,,,,
12/20/2021 7:56:40 AM -08:00,00:00:31,,,,,,,,,,,,,,,,,,
12/20/2021 7:52:57 AM -08:00,00:01:47,,,,,,,,,,,,,,,,,,
12/20/2021 7:52:12 AM -08:00,00:03:16,,,,,,,,,,,,,,,,,,
12/20/2021 7:52:07 AM -08:00,00:02:37,,,,,,,,,,,,,,,,,,
12/20/2021 7:45:08 AM -08:00,00:03:07,,,,,,,,,,,,,,,,,,
12/20/2021 7:44:03 AM -08:00,00:00:54,,,,,,,,,,,,,,,,,,
12/20/2021 7:35:46 AM -08:00,00:00:53,,,,,,,,,,,,,,,,,,
12/20/2021 7:33:29 AM -08:00,00:00:56,,,,,,,,,,,,,,,,,,
12/20/2021 7:19:19 AM -08:00,00:08:28,,,,,,,,,,,,,,,,,,
12/20/2021 7:08:01 AM -08:00,00:02:04,,,,,,,,,,,,,,,,,,
12/20/2021 7:07:58 AM -08:00,00:01:20,,,,,,,,,,,,,,,,,,
12/20/2021 6:55:52 AM -08:00,00:00:43,,,,,,,,,,,,,,,,,,
12/20/2021 6:49:04 AM -08:00,00:04:54,,,,,,,,,,,,,,,,,,
12/20/2021 6:49:01 AM -08:00,00:04:24,,,,,,,,,,,,,,,,,,
12/20/2021 6:21:57 AM -08:00,00:02:34,,,,,,,,,,,,,,,,,,
12/20/2021 5:58:26 AM -08:00,00:02:17,,,,,,,,,,,,,,,,,,
12/20/2021 5:35:37 AM -08:00,00:00:19,,,,,,,,,,,,,,,,,,
12/20/2021 5:32:20 AM -08:00,00:20:35,,,,,,,,,,,,,,,,,,
12/20/2021 5:09:01 AM -08:00,00:00:29,,,,,,,,,,,,,,,,,,
12/20/2021 4:44:57 AM -08:00,00:05:11,,,,,,,,,,,,,,,,,,
12/20/2021 12:54:29 AM -08:00,00:01:11,,,,,,,,,,,,,,,,,,
12/19/2021 10:42:30 PM -08:00,00:00:45,,,,,,,,,,,,,,,,,,
12/19/2021 9:37:04 PM -08:00,00:00:29,,,,,,,,,,,,,,,,,,
12/19/2021 9:24:19 PM -08:00,00:00:30,,,,,,,,,,,,,,,,,,
12/19/2021 8:57:40 PM -08:00,00:00:33,,,,,,,,,,,,,,,,,,
12/19/2021 8:18:46 PM -08:00,00:42:17,,,,,,,,,,,,,,,,,,
12/19/2021 8:00:34 PM -08:00,00:01:46,,,,,,,,,,,,,,,,,,
12/19/2021 7:02:26 PM -08:00,00:00:15,,,,,,,,,,,,,,,,,,
12/19/2021 6:26:42 PM -08:00,00:00:17,,,,,,,,,,,,,,,,,,
12/19/2021 6:06:40 PM -08:00,00:09:55,,,,,,,,,,,,,,,,,,
12/19/2021 6:06:11 PM -08:00,00:00:51,,,,,,,,,,,,,,,,,,
12/19/2021 6:06:07 PM -08:00,00:00:19,,,,,,,,,,,,,,,,,,
12/19/2021 5:38:55 PM -08:00,00:01:59,,,,,,,,,,,,,,,,,,
12/19/2021 5:22:50 PM -08:00,00:12:50,,,,,,,,,,,,,,,,,,
12/19/2021 5:14:17 PM -08:00,00:05:47,,,,,,,,,,,,,,,,,,
12/19/2021 5:09:39 PM -08:00,00:00:18,,,,,,,,,,,,,,,,,,
